Latitud: 10.985233, Longitud: -74.796941, Fecha: 7/3/2023, Hora: 10:46:17
Latitud: 10.98523, Longitud: -74.796936, Fecha: 7/3/2023, Hora: 10:46:22
Latitud: 10.98523, Longitud: -74.796936, Fecha: 7/3/2023, Hora: 10:46:32
Latitud: 10.985232, Longitud: -74.796942, Fecha: 7/3/2023, Hora: 10:47:1
Latitud: 10.985232, Longitud: -74.796942, Fecha: 7/3/2023, Hora: 10:47:1
Latitud: 10.985232, Longitud: -74.796942, Fecha: 7/3/2023, Hora: 10:47:1
Latitud: 10.985232, Longitud: -74.796942, Fecha: 7/3/2023, Hora: 10:47:2
Latitud: 10.985233, Longitud: -74.796943, Fecha: 7/3/2023, Hora: 10:47:12
Latitud: 10.985233, Longitud: -74.796943, Fecha: 7/3/2023, Hora: 10:47:22
Latitud: 10.985244, Longitud: -74.796933, Fecha: 7/3/2023, Hora: 10:47:53
Latitud: 10.985244, Longitud: -74.796933, Fecha: 7/3/2023, Hora: 10:47:53
Latitud: 10.985232, Longitud: -74.796935, Fecha: 7/3/2023, Hora: 10:48:2
Latitud: 10.985235, Longitud: -74.796934, Fecha: 7/3/2023, Hora: 10:48:12
Latitud: 10.985556, Longitud: -74.79683, Fecha: 7/3/2023, Hora: 10:48:37
Latitud: 10.98525, Longitud: -74.796929, Fecha: 7/3/2023, Hora: 10:48:37
Latitud: 10.98525, Longitud: -74.796929, Fecha: 7/3/2023, Hora: 10:48:37
Latitud: 10.98524, Longitud: -74.79693, Fecha: 7/3/2023, Hora: 10:48:42
Latitud: 10.985239, Longitud: -74.796932, Fecha: 7/3/2023, Hora: 10:48:52
Latitud: 10.985241, Longitud: -74.796931, Fecha: 7/3/2023, Hora: 10:49:2
Latitud: 10.985221, Longitud: -74.796962, Fecha: 7/3/2023, Hora: 10:49:26
Latitud: 10.985219, Longitud: -74.796962, Fecha: 7/3/2023, Hora: 10:49:32
Latitud: 10.985219, Longitud: -74.796962, Fecha: 7/3/2023, Hora: 10:49:32
Latitud: 10.985219, Longitud: -74.796962, Fecha: 7/3/2023, Hora: 10:49:42
Latitud: 10.98522, Longitud: -74.796962, Fecha: 7/3/2023, Hora: 10:49:52
Latitud: 10.985231, Longitud: -74.796959, Fecha: 7/3/2023, Hora: 10:50:15
Latitud: 10.985231, Longitud: -74.796958, Fecha: 7/3/2023, Hora: 10:50:22
Latitud: 10.985231, Longitud: -74.796958, Fecha: 7/3/2023, Hora: 10:50:22
Latitud: 10.985231, Longitud: -74.796958, Fecha: 7/3/2023, Hora: 10:50:32
Latitud: 10.985231, Longitud: -74.796959, Fecha: 7/3/2023, Hora: 10:50:42
Latitud: 10.985231, Longitud: -74.796959, Fecha: 7/3/2023, Hora: 10:50:52
Latitud: 10.985231, Longitud: -74.796959, Fecha: 7/3/2023, Hora: 10:51:2
Latitud: 10.985169, Longitud: -74.79705, Fecha: 7/3/2023, Hora: 10:51:26
Latitud: 10.985167, Longitud: -74.797051, Fecha: 7/3/2023, Hora: 10:51:32
Latitud: 10.985168, Longitud: -74.79705, Fecha: 7/3/2023, Hora: 10:51:42
Latitud: 10.985168, Longitud: -74.79705, Fecha: 7/3/2023, Hora: 10:51:52
Latitud: 10.985168, Longitud: -74.79705, Fecha: 7/3/2023, Hora: 10:51:53
Latitud: 10.985168, Longitud: -74.79705, Fecha: 7/3/2023, Hora: 10:51:53
Latitud: 10.985168, Longitud: -74.79705, Fecha: 7/3/2023, Hora: 10:51:53
Latitud: 10.985168, Longitud: -74.79705, Fecha: 7/3/2023, Hora: 10:51:53
Latitud: 10.985168, Longitud: -74.79705, Fecha: 7/3/2023, Hora: 10:51:53
Latitud: 10.985168, Longitud: -74.79705, Fecha: 7/3/2023, Hora: 10:51:53
Latitud: 10.985168, Longitud: -74.79705, Fecha: 7/3/2023, Hora: 10:51:53
Latitud: 10.985168, Longitud: -74.79705, Fecha: 7/3/2023, Hora: 10:51:53
Latitud: 10.985168, Longitud: -74.79705, Fecha: 7/3/2023, Hora: 10:51:53
Latitud: 10.985168, Longitud: -74.79705, Fecha: 7/3/2023, Hora: 10:51:53
Latitud: 10.985182, Longitud: -74.796927, Fecha: 7/3/2023, Hora: 10:58:8
Latitud: 10.985181, Longitud: -74.796925, Fecha: 7/3/2023, Hora: 10:58:14
Latitud: 10.985181, Longitud: -74.796926, Fecha: 7/3/2023, Hora: 10:58:14
Latitud: 10.985182, Longitud: -74.796926, Fecha: 7/3/2023, Hora: 10:58:24
Latitud: 10.985182, Longitud: -74.796926, Fecha: 7/3/2023, Hora: 10:58:34
Latitud: 10.985182, Longitud: -74.796926, Fecha: 7/3/2023, Hora: 10:58:44
Latitud: 10.985182, Longitud: -74.796926, Fecha: 7/3/2023, Hora: 10:58:54
Latitud: 10.985174, Longitud: -74.79691, Fecha: 7/3/2023, Hora: 10:59:18
Latitud: 10.985173, Longitud: -74.796909, Fecha: 7/3/2023, Hora: 10:59:24
Latitud: 10.985174, Longitud: -74.796909, Fecha: 7/3/2023, Hora: 10:59:34
Latitud: 10.985174, Longitud: -74.796909, Fecha: 7/3/2023, Hora: 10:59:44
Latitud: 10.985174, Longitud: -74.796909, Fecha: 7/3/2023, Hora: 10:59:54
Latitud: 10.985174, Longitud: -74.796909, Fecha: 7/3/2023, Hora: 10:59:54
Latitud: 10.985174, Longitud: -74.796909, Fecha: 7/3/2023, Hora: 11:0:4
Latitud: 10.985258, Longitud: -74.796778, Fecha: 7/3/2023, Hora: 11:0:28
Latitud: 10.985266, Longitud: -74.796767, Fecha: 7/3/2023, Hora: 11:0:34
Latitud: 10.985263, Longitud: -74.796771, Fecha: 7/3/2023, Hora: 11:0:44
Latitud: 10.985262, Longitud: -74.796772, Fecha: 7/3/2023, Hora: 11:0:44
Latitud: 10.985245, Longitud: -74.796797, Fecha: 7/3/2023, Hora: 11:1:8
Latitud: 10.985245, Longitud: -74.796794, Fecha: 7/3/2023, Hora: 11:1:14
Latitud: 10.985245, Longitud: -74.796795, Fecha: 7/3/2023, Hora: 11:1:24
Latitud: 10.985244, Longitud: -74.796834, Fecha: 7/3/2023, Hora: 11:1:37
Latitud: 10.985244, Longitud: -74.796834, Fecha: 7/3/2023, Hora: 11:1:38
Latitud: 10.985244, Longitud: -74.796834, Fecha: 7/3/2023, Hora: 11:1:44
Latitud: 10.985244, Longitud: -74.796834, Fecha: 7/3/2023, Hora: 11:1:54
Latitud: 10.985244, Longitud: -74.796834, Fecha: 7/3/2023, Hora: 11:2:4
